Occupation code,Occupation title,Level,Employment,Annual mean wage
49-9051,Electrical Power-Line Installers and Repai...,detail,114930,"$74,410"
49-9052,Telecommunications Line Installers and Rep...,detail,122480,"$61,860"
49-9060,Precision Instrument and Equipment Repairers,broad,71430,"$53,830"
49-9061,Camera and Photographic Equipment Repairers,detail,3320,"$42,740"
49-9062,Medical Equipment Repairers,detail,48510,"$55,090"
49-9063,Musical Instrument Repairers and Tuners,detail,7070,"$39,770"
49-9064,Watch and Clock Repairers,detail,2430,"$48,560"
49-9069,Precision Instrument and Equipment Repaire...,detail,10100,"$62,500"
49-9071,"Maintenance and Repair Workers, General",detail,1357630,"$43,790"
49-9081,Wind Turbine Service Technicians,detail,5860,"$59,340"
49-9090,"Miscellaneous Installation, Maintenance, a...",broad,319050,"$43,490"
49-9091,"Coin, Vending, and Amusement Machine Servi...",detail,25080,"$39,710"
49-9092,Commercial Divers,detail,3460,"$71,850"
49-9094,Locksmiths and Safe Repairers,detail,16180,"$46,240"
49-9095,Manufactured Building and Mobile Home Inst...,detail,2900,"$36,360"
49-9096,Riggers,detail,21700,"$53,020"
49-9097,Signal and Track Switch Repairers,detail,7250,"$75,970"
49-9098,"Helpers--Installation, Maintenance, and Re...",detail,91430,"$33,960"
49-9099,"Installation, Maintenance, and Repair Work...",detail,151050,"$46,160"
51-0000,Production Occupations,major,8519410,"$41,760"
51-1011,First-Line Supervisors of Production and O...,detail,599900,"$66,800"
51-2000,Assemblers and Fabricators,minor,1724470,"$37,550"
51-2011,"Aircraft Structure, Surfaces, Rigging, and...",detail,38460,"$55,510"
51-2020,"Electrical, Electronics, and Electromechan...",broad,296380,"$38,810"
51-2021,"Coil Winders, Tapers, and Finishers",detail,12580,"$40,280"
51-2028,"Electrical, Electronic, and Electromechani...",detail,283800,"$38,750"
51-2031,Engine and Other Machine Assemblers,detail,41510,"$47,190"
51-2041,Structural Metal Fabricators and Fitters,detail,69550,"$44,750"
51-2051,Fiberglass Laminators and Fabricators,detail,18800,"$38,280"
51-2061,Timing Device Assemblers and Adjusters,detail,1000,"$39,430"
51-2090,Miscellaneous Assemblers and Fabricators,broad,1258780,"$35,980"
51-3000,Food Processing Workers,minor,777500,"$32,640"
51-3011,Bakers,detail,168890,"$31,060"
51-3020,"Butchers and Other Meat, Poultry, and Fish...",broad,367970,"$32,370"
51-3021,Butchers and Meat Cutters,detail,142220,"$34,630"
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detail,147760,"$30,800"
51-3023,Slaughterers and Meat Packers,detail,77980,"$31,210"
51-3090,Miscellaneous Food Processing Workers,broad,240640,"$34,170"
51-3091,"Food and Tobacco Roasting, Baking, and Dry...",detail,19010,"$35,370"
51-3092,Food Batchmakers,detail,153270,"$34,970"
51-3093,Food Cooking Machine Operators and Tenders,detail,26530,"$34,180"
51-3099,"Food Processing Workers, All Other",detail,41840,"$30,680"
51-4000,Metal Workers and Plastic Workers,minor,1691060,"$43,540"
51-4020,"Forming Machine Setters, Operators, and Te...",broad,117530,"$41,310"
51-4021,"Extruding and Drawing Machine Setters, Ope...",detail,69300,"$38,990"
51-4022,"Forging Machine Setters, Operators, and Te...",detail,13730,"$43,480"
51-4023,"Rolling Machine Setters, Operators, and Te...",detail,34500,"$45,110"
51-4030,"Machine Tool Cutting Setters, Operators, a...",broad,297430,"$39,500"
51-4031,"Cutting, Punching, and Press Machine Sette...",detail,179300,"$38,650"
51-4032,"Drilling and Boring Machine Tool Setters, ...",detail,9090,"$42,800"
51-4033,"Grinding, Lapping, Polishing, and Buffing ...",detail,69570,"$38,800"
51-4034,"Lathe and Turning Machine Tool Setters, Op...",detail,23710,"$43,100"
51-4035,"Milling and Planing Machine Setters, Opera...",detail,15760,"$44,920"
51-4041,Machinists,detail,360340,"$47,800"
51-4050,"Metal Furnace Operators, Tenders, Pourers,...",broad,22490,"$44,860"
51-4051,Metal-Refining Furnace Operators and Tenders,detail,15290,"$46,000"
51-4052,"Pourers and Casters, Metal",detail,7200,"$42,440"
51-4060,"Model Makers and Patternmakers, Metal and ...",broad,5800,"$54,630"
51-4061,"Model Makers, Metal and Plastic",detail,3400,"$58,180"
51-4062,"Patternmakers, Metal and Plastic",detail,2400,"$49,570"
51-4070,"Molders and Molding Machine Setters, Opera...",broad,171110,"$36,190"
51-4071,Foundry Mold and Coremakers,detail,16090,"$38,370"
51-4072,"Molding, Coremaking, and Casting Machine S...",detail,155020,"$35,960"
51-4081,"Multiple Machine Tool Setters, Operators, ...",detail,134660,"$39,800"
51-4111,Tool and Die Makers,detail,61190,"$55,520"
51-4120,"Welding, Soldering, and Brazing Workers",broad,430700,"$46,280"
51-4121,"Welders, Cutters, Solderers, and Brazers",detail,397550,"$46,690"
51-4122,"Welding, Soldering, and Brazing Machine Se...",detail,33150,"$41,320"
51-4190,Miscellaneous Metal Workers and Plastic Wo...,broad,89810,"$40,060"
51-4191,"Heat Treating Equipment Setters, Operators...",detail,16550,"$41,680"
51-4192,"Layout Workers, Metal and Plastic",detail,7570,"$50,980"
51-4193,"Plating Machine Setters, Operators, and Te...",detail,38470,"$36,950"
51-4194,"Tool Grinders, Filers, and Sharpeners",detail,6080,"$43,670"
51-4199,"Metal Workers and Plastic Workers, All Other",detail,21140,"$39,490"
51-5110,Printing Workers,broad,230720,"$39,890"
51-5111,Prepress Technicians and Workers,detail,28010,"$43,370"
51-5112,Printing Press Operators,detail,160270,"$40,200"
51-5113,Print Binding and Finishing Workers,detail,42450,"$36,430"
51-6000,"Textile, Apparel, and Furnishings Workers",minor,491520,"$29,920"
51-6011,Laundry and Dry-Cleaning Workers,detail,179890,"$26,600"
51-6021,"Pressers, Textile, Garment, and Related Ma...",detail,31980,"$26,050"
51-6031,Sewing Machine Operators,detail,116520,"$29,420"
51-6040,Shoe and Leather Workers,broad,11450,"$31,460"
51-6041,Shoe and Leather Workers and Repairers,detail,7380,"$31,480"
51-6042,Shoe Machine Operators and Tenders,detail,4080,"$31,430"
51-6050,"Tailors, Dressmakers, and Sewers",broad,24260,"$35,300"
51-6051,"Sewers, Hand",detail,3410,"$30,790"
51-6052,"Tailors, Dressmakers, and Custom Sewers",detail,20860,"$36,040"
51-6060,"Textile Machine Setters, Operators, and Te...",broad,64220,"$31,900"
51-6061,Textile Bleaching and Dyeing Machine Opera...,detail,7260,"$31,600"
51-6062,"Textile Cutting Machine Setters, Operators...",detail,12650,"$30,890"
51-6063,Textile Knitting and Weaving Machine Sette...,detail,18830,"$32,370"
51-6064,"Textile Winding, Twisting, and Drawing Out...",detail,25480,"$32,130"
51-6090,"Miscellaneous Textile, Apparel, and Furnis...",broad,63200,"$37,890"
51-6091,"Extruding and Forming Machine Setters, Ope...",detail,15840,"$39,170"
51-6092,Fabric and Apparel Patternmakers,detail,4670,"$57,880"
51-6093,Upholsterers,detail,26180,"$37,870"
51-6099,"Textile, Apparel, and Furnishings Workers,...",detail,16510,"$31,070"
51-7000,Woodworkers,minor,240750,"$35,850"
51-7011,Cabinetmakers and Bench Carpenters,detail,93300,"$38,900"
51-7021,Furniture Finishers,detail,15590,"$35,040"
51-7030,"Model Makers and Patternmakers, Wood",broad,990,"$62,250"
51-7031,"Model Makers, Wood",detail,800,"$62,600"
51-7032,"Patternmakers, Wood",detail,190,"$60,750"
51-7040,"Woodworking Machine Setters, Operators, an...",broad,123560,"$33,440"
51-7041,"Sawing Machine Setters, Operators, and Ten...",detail,48400,"$33,290"
51-7042,"Woodworking Machine Setters, Operators, an...",detail,75160,"$33,540"
51-7099,"Woodworkers, All Other",detail,7300,"$35,710"
51-8000,Plant and System Operators,minor,297000,"$65,490"
51-8010,"Power Plant Operators, Distributors, and D...",broad,48210,"$86,720"
51-8011,Nuclear Power Reactor Operators,detail,5310,"$104,470"
51-8012,Power Distributors and Dispatchers,detail,9940,"$93,260"
51-8013,Power Plant Operators,detail,32960,"$81,890"
51-8021,Stationary Engineers and Boiler Operators,detail,29550,"$68,170"
51-8031,Water and Wastewater Treatment Plant and S...,detail,119380,"$51,890"
51-8090,Miscellaneous Plant and System Operators,broad,99870,"$70,700"
51-8091,Chemical Plant and System Operators,detail,29710,"$65,460"
51-8092,Gas Plant Operators,detail,14990,"$73,290"
51-8093,"Petroleum Pump System Operators, Refinery ...",detail,40480,"$77,610"
51-8099,"Plant and System Operators, All Other",detail,14680,"$59,600"
51-9000,Other Production Occupations,minor,2466480,"$40,510"
51-9010,"Chemical Processing Machine Setters, Opera...",broad,141000,"$51,120"
51-9011,Chemical Equipment Operators and Tenders,detail,93060,"$53,330"
51-9012,"Separating, Filtering, Clarifying, Precipi...",detail,47930,"$46,850"
51-9020,"Crushing, Grinding, Polishing, Mixing, and...",broad,172710,"$40,110"
51-9021,"Crushing, Grinding, and Polishing Machine ...",detail,32460,"$41,290"
51-9022,"Grinding and Polishing Workers, Hand",detail,24050,"$34,380"
51-9023,"Mixing and Blending Machine Setters, Opera...",detail,116190,"$40,960"
51-9030,Cutting Workers,broad,60740,"$37,690"
51-9031,"Cutters and Trimmers, Hand",detail,7980,"$34,190"
51-9032,"Cutting and Slicing Machine Setters, Opera...",detail,52760,"$38,220"
51-9041,"Extruding, Forming, Pressing, and Compacti...",detail,63730,"$38,440"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Ope...",detail,16880,"$41,910"
51-9061,"Inspectors, Testers, Sorters, Samplers, an...",detail,549200,"$44,580"
51-9071,Jewelers and Precious Stone and Metal Work...,detail,18650,"$48,050"
51-9080,Dental and Ophthalmic Laboratory Technicia...,broad,70650,"$42,130"
51-9081,Dental Laboratory Technicians,detail,30800,"$45,230"
51-9082,Medical Appliance Technicians,detail,13710,"$45,630"
51-9083,Ophthalmic Laboratory Technicians,detail,26140,"$36,640"
51-9111,Packaging and Filling Machine Operators an...,detail,370910,"$35,220"
51-9120,Painting Workers,broad,149370,"$41,770"
51-9123,"Painting, Coating, and Decorating Workers",detail,11860,"$37,540"
51-9124,"Coating, Painting, and Spraying Machine Se...",detail,137510,"$42,140"
51-9141,Semiconductor Processing Technicians,detail,31080,"$45,210"
51-9151,Photographic Process Workers and Processin...,detail,8880,"$39,390"
